,Experiment,Plot,"Tree
 number","Height
a.s.l., m.","Temperature
sum, d.d.","Site index
H100","1=pine
2=spruce
3=birch

Tree
species","Stem
diameter",Height,"Age when tree died

Tree
age","Year
died","1=snag, less than 1/3 of tree height broken
2=snag, more than 1/3 of tree height broken, but standing part higher than 1.3.m


3=log, fallen with roots
4=log, broken below 1.3 m
5=log, man made
6=log, butt or other stem part left during logging


Appearance","when died

Original
stem
volume","Current
stem
volume","Original
wood
density","Current
wood
density","Original
stem
mass","Current
stem
mass","Decay
class",Var.20,cmass/omass,N_vector,E_vector
65,11,4,125,175,1069,26.3,1,18.15,18.84,57,1988,4,0.23652,0.20556,444.01146908,383.23650276,99.241625069,74.445300255,2,NA,0.750141890595204,62.48961,24.34658
66,12,1,65,45,1328,22,1,13.4,10.7,68,2002,1,0.07874,0.07774,484.32594762,453.2046332,36.038354734,33.294361135,1,NA,0.923859076829298,60.03531,23.04856
67,12,1,77,45,1328,22,1,13.1,13.1,68,2002,1,0.08865,0.08765,484.37854831,483.37854831,40.578449601,40.037882623,1,NA,0.986678471372975,60.03531,23.04856
68,12,1,84,45,1328,22,1,15.95,14.36,68,2002,1,0.14416,0.14088,481.80782015,480.80782015,65.637257508,64.010714389,1,NA,0.975219209626457,60.03531,23.04856
69,12,1,127,45,1328,22,1,12.5,12.8,56,1990,2,0.07882,0.05194,473.60575979,172.71398206,35.276477658,14.741066372,1,NA,0.417872399702498,60.03531,23.04856
70,12,1,181,45,1328,22,1,13.6,13.35,68,2002,1,0.09734,0.09634,484.11560194,476.25350983,44.532002995,43.358738664,1,NA,0.973653457017603,60.03531,23.04856
71,12,1,221,45,1328,22,1,17.85,15.05,68,2002,1,0.18899,0.18799,479.66728984,476.43893308,85.666443447,84.639638504,1,NA,0.988013918849856,60.03531,23.04856
72,12,1,271,45,1328,22,1,14.35,13.69,56,1990,3,0.11121,0.07569,471.47050152,124.34910559,49.548461578,8.8943246928,4,NA,0.179507585291996,60.03531,23.04856
73,12,2,15,45,1328,22,1,9.9,12.21,64,1998,1,0.04106,0.04006,483.65861971,459.73262032,18.766776664,17.403959888,1,NA,0.927381414485831,60.03531,23.04856
74,12,2,132,45,1328,22,1,19.95,15.5,68,2002,1,0.23779,0.23679,477.89943069,468.03231391,107.38952181,104.72997617,1,NA,0.975234589043935,60.03531,23.04856
75,12,3,30,45,1328,22,1,12.75,14.69,68,2002,1,0.09436,0.09336,484.79955961,452.02751629,43.229673691,39.88021803,1,NA,0.922519524784261,60.03531,23.04856
76,12,3,32,45,1328,22,1,17.25,16.34,68,2002,1,0.18794,0.16648,481.23259569,480.23259569,85.468497062,75.551920791,1,NA,0.88397390135682,60.03531,23.04856
77,12,3,38,45,1328,22,1,9.8,13.11,66,2000,1,0.04882,0.04624,486.48746072,466.61272923,22.444050352,20.389483107,1,NA,0.908458267880471,60.03531,23.04856
78,12,3,48,45,1328,22,1,21.35,17.37,68,2002,1,0.30217,0.2588,477.53626929,446.44644645,136.36079209,109.18562162,1,NA,0.800711259787462,60.03531,23.04856
79,12,3,69,45,1328,22,1,12.5,14.58,59,1993,1,0.09017,0.05641,477.96502234,452.96488198,40.727710231,24.146402798,1,NA,0.592874057025207,60.03531,23.04856
80,12,3,80,45,1328,22,1,10.1,13.3,59,1993,1,0.05287,0.04817,478.7028832,345.75559701,23.917025256,15.739019517,1,NA,0.658067604500756,60.03531,23.04856
81,12,3,81,45,1328,22,1,17.5,16.41,59,1993,3,0.19414,0.16533,470.70918241,377.97961896,86.357389237,59.054345031,2,NA,0.683836618415255,60.03531,23.04856
82,12,3,87,45,1328,22,1,7.9,11.74,68,2002,1,0.02774,0.02674,490.03995834,434.12271259,12.84605448,10.969977061,1,NA,0.853956915571169,60.03531,23.04856
83,12,3,88,45,1328,22,1,6.75,10.73,59,1993,1,0.01849,0.01583,482.90566236,402.1454112,8.4378347837,6.0158339571,1,NA,0.712959439395666,60.03531,23.04856
84,12,3,110,45,1328,22,1,16.9,16.24,68,2002,1,0.17943,0.17843,480.60586131,479.60586131,81.492178662,80.869389773,1,NA,0.992357685127267,60.03531,23.04856
85,12,3,226,45,1328,22,1,17.95,16.54,59,1993,1,0.20556,0.17113,470.40673824,421.7946535,91.378484612,68.211724505,1,NA,0.746474673930435,60.03531,23.04856
86,12,3,236,45,1328,22,1,13.85,15.17,59,1993,1,0.11405,0.10395,474.35371569,464.62604678,51.124539004,45.641494297,1,NA,0.892751214703941,60.03531,23.04856
87,12,3,248,45,1328,22,1,16.3,16.05,59,1993,1,0.16533,0.15738,471.13293096,387.38815509,73.608325065,57.613954717,1,NA,0.782709763686701,60.03531,23.04856
88,12,3,261,45,1328,22,1,14.6,15.46,59,1993,1,0.12866,0.1169,473.50080862,427.73480663,57.569980265,47.252077956,1,NA,0.820776344520083,60.03531,23.04856
89,12,4,1,45,1328,22,1,12.6,11.58,59,1993,3,0.0733,0.05555,476.73778076,304.47971781,33.022910966,15.983586667,4,NA,0.484015073155014,60.03531,23.04856
90,12,4,80,45,1328,22,1,9.3,9.02,48,1982,3,0.03457,0.02102,464.81204905,363.33072713,15.184782146,7.2171652306,3,NA,0.47528934964017,60.03531,23.04856
91,12,4,270,45,1328,22,1,11.7,10.53,48,1982,3,0.05986,0.04158,461.05206902,153.09244686,26.080655125,6.0154768239,4,NA,0.230648992330479,60.03531,23.04856
92,21,4,6,140,1243,21,1,12.1,15.18,75,1996,2,0.08655,0.06626,477.17528294,459.07507127,39.028047097,27.906926461,1,NA,0.715047985661193,61.1075,26.03252
93,21,4,32,140,1243,21,1,13.7,15.9,69,1990,3,0.1161,0.08912,469.41263559,280.12661712,51.501372607,23.591815491,2,NA,0.458081295638972,61.1075,26.03252
94,21,4,67,140,1243,21,1,12.85,13.07,58,1979,1,0.08622,0.03622,458.46076802,392.56584537,37.354420611,13.436704499,1,NA,0.359708550667313,61.1075,26.03252
95,21,4,106,140,1243,21,1,18.9,17.59,69,1990,3,0.24278,0.18632,463.91693341,413.99521531,106.43511667,72.893131148,1,NA,0.684859785271845,61.1075,26.03252
96,21,4,114,140,1243,21,1,9,13.33,69,1990,3,0.04044,0.03069,474.48194971,291.78247734,18.132707294,8.462289997,1,NA,0.466686516237987,61.1075,26.03252
97,21,4,115,140,1243,21,1,8,12.56,79,2000,1,0.02971,0.0269,483.89440484,446.08195543,13.585795116,11.339626348,1,NA,0.834667846171573,61.1075,26.03252
98,21,4,157,140,1243,21,1,15.2,16.47,69,1990,1,0.148,0.12629,467.04940741,344.25837321,65.321530121,41.085188505,1,NA,0.628968556445246,61.1075,26.03252
99,21,4,210,140,1243,21,1,11.4,14.82,69,1990,2,0.0751,0.06955,470.87286948,193.10804802,33.417612111,13.036797193,2,NA,0.390117556864834,61.1075,26.03252
100,21,4,245,140,1243,21,1,16.8,17.6,78,1999,1,0.1907,0.16662,474.36036979,447.37699576,85.48519378,70.442147507,1,NA,0.824027464782803,61.1075,26.03252
101,21,6,80,140,1243,21,1,17.05,15.35,78,1999,3,0.17346,0.17246,473.26267901,449.74020503,77.577076364,73.296274992,1,NA,0.944818732895862,61.1075,26.03252
102,21,8,19,140,1243,21,1,7.15,9.6,58,1979,3,0.0209,0.01803,461.93534407,255.56552962,9.1234540131,4.3544149417,2,NA,0.477277019804963,61.1075,26.03252
103,21,8,22,140,1243,21,1,8.45,12.39,69,1990,1,0.03614,0.03271,474.48194971,343.19213313,16.204649891,10.608394868,1,NA,0.654651284622438,61.1075,26.03252
104,21,8,69,140,1243,21,1,8,12.04,69,1990,1,0.03176,0.02811,475.09639402,389.85095813,14.259163093,10.355981359,1,NA,0.726268525821398,61.1075,26.03252
105,21,8,80,140,1243,21,1,17.25,16.57,69,1990,1,0.19102,0.13047,466.5661152,325.1308763,84.221669062,40.086735032,2,NA,0.475966998498807,61.1075,26.03252
106,21,8,88,140,1243,21,1,16.7,16.41,76,1997,1,0.17753,0.11449,474.86538553,384.18211687,79.666195038,41.56583498,1,NA,0.521749971367071,61.1075,26.03252
107,21,8,90,140,1243,21,1,7.45,11.57,80,2001,1,0.0267,0.02623,484.94888952,456.43863179,12.235987906,11.31390412,1,NA,0.92464165598367,61.1075,26.03252
108,21,8,108,140,1243,21,1,7,9.48,58,1979,3,0.01979,0.0177,462.01117007,422.91666667,8.6403249976,7.073915625,1,NA,0.818709438240448,61.1075,26.03252
109,21,8,116,140,1243,21,1,7.85,11.91,69,1990,3,0.03038,0.02623,475.34239449,292.90206649,13.646652338,7.2602660377,2,NA,0.532018099228872,61.1075,26.03252
110,21,8,132,140,1243,21,1,9.9,11.31,58,1979,3,0.0454,0.04381,457.4084849,133.88368967,19.624196228,5.5428449999,3,NA,0.282449529932411,61.1075,26.03252
111,21,8,154,140,1243,21,1,11.35,12,58,1979,3,0.06248,0.05747,455.61018708,252.32774674,26.900865642,13.703705447,3,NA,0.509415036280638,61.1075,26.03252
112,21,8,176,140,1243,21,1,8,10.19,58,1979,4,0.02758,0.01499,461.10207905,378.39607201,12.017749596,5.3601884779,2,NA,0.44602264634338,61.1075,26.03252
113,21,8,222,140,1243,21,1,6.1,8.75,58,1979,4,0.01395,0.01203,463.45423115,159.37849559,6.1096012657,1.8118705203,3,NA,0.296561173389833,61.1075,26.03252
114,21,8,233,140,1243,21,1,7.15,11.31,69,1990,1,0.02401,0.02151,476.01955275,475.7154538,10.800621841,9.6698442437,1,NA,0.895304398770126,61.1075,26.03252
115,21,8,238,140,1243,21,1,10.5,13.76,69,1990,3,0.06032,0.04473,473.07174183,433.78914865,26.966224657,18.336202245,1,NA,0.679969201407666,61.1075,26.03252
